Unnamed: 0,customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
18,DUMMY_006,2022-06-18,Organic,2025-12-01,Basic,Monthly,2024-05-01,Switched to competitor,22.773857683707433,429,90,1,mohan,India,Telangana,Male,1982-04-12,2024-01-20,Y,63.978923787942236,1.067518480187415
1,DUMMY_007,2022-01-19,Refferal,2025-04-03,Standard,Monthly,2024-09-10,Poor streaming quality,91.27233744166055,565,52,0,madan,India,Nagaland,Female,1982-04-12,2025-03-18,N,82.8261528148202,1.0528071014001104
14,DUMMY_008,2022-12-31,Refferal,2025-05-10,Standard,Annual,2024-05-01,Switched to competitor,46.42621525143013,1986,72,0,raghvendra,India,Telangana,Men,1997-01-22,2024-01-20,Y,26.20179263393488,1.0005187441657055
4,DUMMY_009,2022-06-18,Refferal,2025-06-23,Standard,Monthly,2024-11-15,Not enough content,74.42096155736108,2058,30,0,keshav,India,Delhi,Female,1995-11-23,2024-08-28,Y,53.36632279605753,1.4363166596942631
1,DUMMY_010,2022-01-19,Organic,2025-03-15,Standard,Monthly,2024-11-15,Forgot to cancel trial,61.721117421268815,137,96,1,durga,India,Delhi,Female,1977-10-06,2024-09-14,Y,66.11128809947459,1.77462388129223
11,DUMMY_011,2022-06-18,Refferal,2025-05-10,Standard,Annual,2024-10-31,Switched to competitor,56.21753089644282,1397,63,1,raghav,India,Meghalaya,Male,1988-12-10,2024-08-28,N,86.23379747884526,1.0348383502799157
20,DUMMY_012,2023-05-06,Paid,2024-01-05,Standard,Annual,2024-05-01,Forgot to cancel trial,19.471201901194274,541,78,0,rangadevi,India,Nagaland,Male,1992-04-25,2024-09-14,N,58.804838630973904,1.6522576064658554
15,DUMMY_013,2022-01-19,Organic,2025-06-18,Standard,Annual,2024-10-31,Switched to competitor,88.34810300599617,454,47,1,durga,India,Uttar Pradesh,Male,1979-11-11,2024-08-28,Y,30.408554482190453,1.8231273174161866
15,DUMMY_014,2022-04-03,Paid,2025-11-20,Standard,Monthly,2024-10-31,Too expensive,32.905466396265744,668,87,1,rikim,India,Uttar Pradesh,Female,1997-01-22,2024-09-27,N,60.0382525531149,1.1680008485778712
15,DUMMY_015,2023-05-06,Paid,2025-03-15,Standard,Annual,2024-09-14,Switched to competitor,56.69948055944863,458,10,1,chitra,India,Karnataka,Female,1983-12-30,2025-03-18,Y,35.6392929342413,1.1468637348214044
16,DUMMY_016,2022-06-18,Refferal,2025-11-11,Basic,Monthly,2024-10-31,Forgot to cancel trial,67.17073123465968,1092,14,0,rikim,India,Nagaland,Male,1978-02-15,2024-11-01,N,88.09027125533662,1.860800973620536
10,DUMMY_017,2020-08-01,Organic,2025-12-31,Basic,Annual,2024-05-01,Switched to competitor,62.824051351096564,2176,52,1,raju,India,Meghalaya,Female,1990-05-05,2024-01-20,N,41.97409081309095,1.8231246099500948
2,DUMMY_018,2022-11-20,Organic,2025-11-20,Premium,Annual,2024-11-15,Switched to competitor,87.88111923381459,1299,74,1,arjun,India,Maharashtra,Male,1988-12-10,2024-11-01,Y,64.83421766088114,1.5389417662641869
17,DUMMY_019,2022-04-03,Organic,2024-09-30,Basic,Annual,2024-02-28,Poor streaming quality,19.75575313312499,1592,81,0,raghvendra,India,Delhi,Female,1978-02-15,2024-11-01,Y,11.858206587740678,1.8191998792939803
9,DUMMY_020,2023-09-14,Organic,2025-12-01,Standard,Monthly,2024-05-01,Forgot to cancel trial,50.70833550643702,1099,45,0,shiva,Nepal,Maharashtra,Men,1976-09-21,2024-11-01,N,42.00491569078043,1.0927560774244949
10,DUMMY_021,2022-11-20,Refferal,2025-06-23,Premium,Annual,2024-09-10,Switched to competitor,41.736957603705875,71,66,0,rishabh,India,Delhi,Male,1976-09-21,2025-03-18,N,80.00860906580093,1.3944815179387544
7,DUMMY_022,2022-04-03,Organic,2025-11-11,Premium,Annual,2024-09-14,Poor streaming quality,47.76851073550516,222,56,0,sudevi,India,Maharashtra,Female,1994-08-19,2024-11-01,Y,58.81819555465967,1.737797556106373
3,DUMMY_023,2019-11-11,Organic,2024-01-19,Standard,Annual,2024-09-14,Switched to competitor,17.24270725300604,618,96,1,chitra,India,Uttar Pradesh,Female,1976-09-21,2024-09-27,Y,45.51543091167811,1.2574519593239635
19,DUMMY_024,2023-01-05,Organic,2025-10-09,Standard,Monthly,2024-09-10,Poor streaming quality,18.522136449057818,564,66,1,Madhav,India,Maharashtra,Female,1983-12-30,2024-11-01,Y,84.87499995485807,1.7523289144335528
16,DUMMY_025,2023-05-06,Paid,2024-07-22,Basic,Annual,2024-10-31,Poor streaming quality,30.904496937188135,1844,43,1,durga,India,Karnataka,Female,1994-08-19,2025-03-18,Y,78.31875009177833,1.5041786043908139
13,DUMMY_026,2021-09-30,Refferal,2024-01-05,Basic,Monthly,2024-09-10,Switched to competitor,33.19459592343149,1850,97,0,vishakha,India,Maharashtra,Female,1983-12-30,2024-08-28,N,35.77725390583506,1.7502659879482332
8,DUMMY_027,2022-01-19,Refferal,2024-09-14,Premium,Annual,2024-10-31,Switched to competitor,43.7896763765961,1873,13,1,Madhav,India,Telangana,Men,1978-02-15,2025-03-18,Y,53.56387216330717,1.4646796378573295
17,DUMMY_028,2020-10-09,Refferal,2024-01-19,Premium,Annual,2024-09-10,Forgot to cancel trial,59.53492904515004,1408,98,0,raghvendra,India,Telangana,Female,1977-10-06,2024-08-28,N,49.18594048739702,1.3679043402218176
11,DUMMY_029,2023-03-17,Organic,2025-03-15,Premium,Annual,2024-11-15,Forgot to cancel trial,61.56810409797062,1234,17,1,durga,India,Kathmandu,Male,2004-12-01,2024-01-20,N,60.57620000918899,1.2191892164786324
9,DUMMY_030,2019-05-10,Refferal,2025-05-06,Premium,Annual,2024-05-01,Switched to competitor,42.40573710635904,1433,30,0,rikim,India,Delhi,Female,1977-10-06,2024-09-14,N,36.72890135670045,1.208379341435015
9,DUMMY_031,2022-04-03,Refferal,2024-08-01,Standard,Monthly,2024-10-31,Too expensive,42.145347410867956,914,82,0,arjun,India,Telangana,Female,1999-03-14,2024-08-28,N,29.53640006127106,1.751490810571396
4,DUMMY_032,2021-07-07,Organic,2025-05-06,Premium,Monthly,2024-11-15,Too expensive,25.70605329593873,1478,74,1,mohan,India,Telangana,Male,1977-10-06,2024-11-01,Y,83.01374682044289,1.1189103480339604
1,DUMMY_033,2021-03-15,Refferal,2025-07-07,Premium,Annual,2024-09-14,Not enough content,57.58433736317471,1745,97,0,mohan,India,Karnataka,Men,2004-12-01,2024-09-27,Y,83.90995995988051,1.0859823501109451
11,DUMMY_034,2023-05-06,Paid,2025-11-20,Standard,Annual,2024-10-31,Switched to competitor,34.255518373282456,1677,75,1,rangadevi,India,Telangana,Male,1995-11-23,2024-09-14,Y,77.46583086095832,1.1762913650221303
18,DUMMY_035,2021-12-01,Organic,2025-04-03,Standard,Annual,2024-02-28,Forgot to cancel trial,10.091145747853279,1358,64,1,mina,India,Kathmandu,Male,1985-07-07,2024-01-20,N,88.2563544611649,1.1753465114539219
1,DUMMY_036,2023-05-06,Organic,2025-11-20,Premium,Annual,2024-10-31,Switched to competitor,42.972403797489996,166,36,1,lalita,India,Karnataka,Female,1978-02-15,2024-01-20,Y,69.59932206237508,1.8231076228068996
18,DUMMY_037,2022-08-25,Paid,2024-03-17,Basic,Monthly,2024-10-31,Switched to competitor,47.76541005775465,1596,3,1,maya,India,Nagaland,Men,1991-05-14,2025-03-18,Y,71.17337828495997,1.3985066234742125
17,DUMMY_038,2022-04-03,Refferal,2025-06-23,Basic,Monthly,2024-11-15,Too expensive,26.390986665562146,828,15,0,raju,India,Meghalaya,Female,1976-09-21,2024-11-01,Y,71.00720735701125,1.9903884573604824
5,DUMMY_039,2021-09-30,Refferal,2024-08-01,Standard,Annual,2024-10-31,Switched to competitor,56.22138224850195,1636,31,1,mina,India,Nagaland,Male,1990-05-05,2024-09-14,N,48.44861047538452,1.1372112577906124
13,DUMMY_040,2022-08-25,Paid,2024-07-22,Standard,Annual,2024-09-14,Forgot to cancel trial,55.646383437145204,1198,6,0,sudevi,India,Delhi,Female,1981-06-18,2024-01-20,N,46.516175561141736,1.6535398256936433
3,DUMMY_041,2022-11-20,Refferal,2025-12-31,Premium,Annual,2024-10-31,Too expensive,67.36218757549193,1931,52,1,rikim,Nepal,Delhi,Male,1985-07-07,2024-01-20,N,29.21810209192025,1.4487295072012505
15,DUMMY_042,2020-10-09,Refferal,2024-09-30,Premium,Annual,2024-10-31,Poor streaming quality,62.71356946930407,767,78,0,shiva,India,Karnataka,Female,1978-02-15,2024-01-20,N,61.58553554874324,1.392918176697074
14,DUMMY_043,2020-08-01,Refferal,2025-11-20,Standard,Annual,2024-05-01,Forgot to cancel trial,63.099242860808715,2038,96,0,rishabh,India,Kathmandu,Male,2000-09-02,2024-09-14,Y,33.145610888186766,1.8750841990540823
7,DUMMY_044,2022-08-25,Organic,2025-12-01,Premium,Annual,2024-02-28,Switched to competitor,34.18441705686771,1852,50,1,arjun,India,Telangana,Male,2000-09-02,2024-08-28,Y,30.624672776188355,1.9755956458283996
1,DUMMY_045,2022-08-25,Organic,2025-12-01,Standard,Annual,2024-10-31,Switched to competitor,74.70917109079203,751,87,0,lalita,India,Delhi,Female,1986-02-28,2025-03-18,Y,56.87690992768438,1.8728589587741786
20,DUMMY_046,2020-08-01,Paid,2024-08-25,Premium,Monthly,2024-11-15,Switched to competitor,54.21641698957243,1076,98,1,keshav,India,Meghalaya,Female,2004-12-01,2024-08-28,N,42.79859105800345,1.192300679035133
9,DUMMY_047,2023-05-06,Paid,2024-09-30,Basic,Annual,2024-05-01,Switched to competitor,44.09196478547055,1181,86,1,rishabh,India,Rajasthan,Female,1985-07-07,2024-01-20,N,27.508528703570576,1.2207979212089342
18,DUMMY_048,2023-07-22,Organic,2025-12-31,Standard,Monthly,2024-02-28,Switched to competitor,60.82707336093091,1689,48,1,sudevi,India,Meghalaya,Male,1981-06-18,2024-09-14,N,75.28448134022649,1.6560738790950633
14,DUMMY_049,2022-01-19,Paid,2025-12-01,Premium,Monthly,2024-02-28,Switched to competitor,38.006530762721866,1519,34,1,parvati,India,Maharashtra,Female,1997-01-22,2024-08-28,Y,78.84559354355008,1.2890835816381916
16,DUMMY_050,2021-03-15,Paid,2024-09-30,Premium,Annual,2024-09-10,Poor streaming quality,51.08557503618121,1868,97,1,lalita,India,Rajasthan,Female,2001-08-30,2025-03-18,Y,23.41596157422248,1.7347251307805798
15,DUMMY_051,2019-05-10,Refferal,2025-12-31,Premium,Annual,2024-09-14,Forgot to cancel trial,70.34668920947094,834,26,0,mina,India,Nagaland,Men,1995-11-23,2024-09-14,Y,10.60056262399999,1.5664206508096448
4,DUMMY_052,2021-12-01,Refferal,2025-06-23,Standard,Monthly,2024-09-10,Switched to competitor,83.22064825823885,1124,42,0,keshav,India,Maharashtra,Male,1988-12-10,2024-04-10,N,36.8903974823499,1.550908768490403
7,DUMMY_053,2019-05-10,Refferal,2025-12-01,Standard,Monthly,2024-09-10,Forgot to cancel trial,86.20091896738647,965,10,0,raghav,India,Karnataka,Female,1993-10-29,2024-08-28,N,73.8008668544602,1.8285469248387858
9,DUMMY_054,2021-09-30,Organic,2025-03-15,Basic,Annual,2024-09-14,Too expensive,50.30243156574653,1992,79,1,durga,India,Telangana,Female,2001-08-30,2024-11-01,N,77.13390929874595,1.710532771742678
10,DUMMY_055,2022-08-25,Paid,2025-10-09,Standard,Monthly,2024-05-01,Too expensive,51.73365986768894,695,66,0,chitra,Nepal,Nagaland,Female,1978-02-15,2024-09-14,Y,21.066325609283936,1.0265777649972918
0,DUMMY_056,2019-05-10,Paid,2024-03-17,Premium,Monthly,2024-11-15,Forgot to cancel trial,75.77885532568993,1300,11,0,raghav,India,Delhi,Female,2000-09-02,2025-03-18,N,71.94687209464409,1.0494591371460156
11,DUMMY_057,2019-11-11,Paid,2025-05-10,Standard,Annual,2024-10-31,Too expensive,34.03275949000131,299,24,0,sudevi,India,Rajasthan,Male,1999-03-14,2024-11-01,Y,19.256333384754356,1.6015584524560156
3,DUMMY_058,2022-11-20,Refferal,2024-08-25,Basic,Monthly,2024-11-15,Switched to competitor,79.00488316167589,1864,56,0,arjun,India,Telangana,Female,2004-12-01,2024-11-01,Y,41.20500721252234,1.4861920756222755
15,DUMMY_059,2019-05-10,Paid,2025-07-07,Premium,Annual,2024-09-10,Switched to competitor,49.48618160049842,865,55,0,durga,India,Rajasthan,Female,1981-06-18,2024-04-10,N,89.88876120095327,1.2601846553429914
14,DUMMY_060,2020-10-09,Organic,2025-11-20,Standard,Monthly,2024-10-31,Switched to competitor,16.953678292833082,772,80,0,shiva,India,Delhi,Female,1986-02-28,2024-01-20,N,25.407265858472783,1.4186560873148015
19,DUMMY_061,2022-01-19,Paid,2025-05-06,Standard,Annual,2024-02-28,Forgot to cancel trial,13.187086648273159,1291,28,0,rikim,India,Meghalaya,Female,1986-02-28,2024-09-27,N,22.317086606210115,1.7579103187328604
15,DUMMY_062,2019-05-10,Refferal,2025-11-20,Standard,Monthly,2024-05-01,Forgot to cancel trial,79.40141614939382,1111,92,0,mina,India,Telangana,Female,1976-09-21,2024-09-14,N,43.82402660374348,1.82661148465793
7,DUMMY_063,2021-09-30,Refferal,2025-05-06,Premium,Annual,2024-09-14,Switched to competitor,11.768840853991499,1860,46,0,keshav,India,Nagaland,Male,2000-09-02,2024-08-28,Y,59.57348207758891,1.5612230678900443
20,DUMMY_064,2020-06-23,Refferal,2024-07-22,Premium,Monthly,2024-09-14,Switched to competitor,31.12258350749441,1181,82,0,raghav,India,Karnataka,Female,1999-03-14,2024-09-27,Y,84.63206259306025,1.3853694808571029
8,DUMMY_065,2022-12-31,Organic,2025-03-15,Basic,Annual,2024-11-15,Forgot to cancel trial,35.72518348313294,1150,26,1,vishakha,India,Karnataka,Female,2000-09-02,2024-09-27,Y,88.46569164264274,1.270696761495107
6,DUMMY_066,2020-10-09,Organic,2025-12-31,Standard,Annual,2024-10-31,Switched to competitor,21.86752228647707,267,6,0,lalita,Nepal,Kathmandu,Men,1985-07-07,2024-09-27,N,15.57125092731157,1.5219184707692535
19,DUMMY_067,2022-04-03,Organic,2025-05-10,Standard,Annual,2024-05-01,Switched to competitor,33.98482980297108,89,8,0,raju,India,Delhi,Men,1978-02-15,2025-03-18,Y,21.039801387832426,1.314749618564381
7,DUMMY_068,2020-02-14,Refferal,2025-10-09,Standard,Monthly,2024-11-15,Forgot to cancel trial,70.86156073835737,896,39,0,maya,India,Uttar Pradesh,Male,1986-02-28,2024-11-01,N,73.25903791167951,1.564095137047223
1,DUMMY_069,2020-10-09,Refferal,2025-05-10,Basic,Annual,2024-09-10,Not enough content,8.252724546166085,2182,95,1,rikim,India,Karnataka,Male,1982-04-12,2024-09-27,N,31.650572181668835,1.6766523825096376
9,DUMMY_070,2020-10-09,Organic,2025-06-23,Standard,Monthly,2024-11-15,Switched to competitor,78.12691450877902,2008,7,1,raghav,India,Delhi,Female,1994-08-19,2024-01-20,N,80.78792476050884,1.0660792109193948
16,DUMMY_071,2021-09-30,Organic,2025-05-06,Premium,Monthly,2024-05-01,Not enough content,80.653130027412,1390,38,1,raghvendra,India,Meghalaya,Male,1982-04-12,2024-09-27,Y,63.07626057832694,1.0010674650227473
3,DUMMY_072,2021-03-15,Refferal,2024-01-19,Standard,Annual,2024-09-14,Too expensive,39.004495294473145,1394,13,0,Madhav,India,Karnataka,Male,1990-05-05,2024-09-14,Y,18.947584190454172,1.212277138840743
9,DUMMY_073,2019-05-10,Organic,2025-04-03,Standard,Monthly,2024-09-10,Switched to competitor,20.200709319214592,881,93,0,arjun,India,Delhi,Male,2004-12-01,2024-04-10,N,76.60234279392057,1.894511497718781
2,DUMMY_074,2022-12-31,Organic,2025-04-03,Premium,Annual,2024-10-31,Switched to competitor,58.66227508327696,422,68,0,mira,India,Delhi,Female,1991-05-14,2025-03-18,N,24.108510400646068,1.646290763228559
14,DUMMY_075,2023-07-22,Refferal,2024-08-25,Standard,Monthly,2024-09-14,Switched to competitor,17.281839804380915,60,76,1,sudevi,India,Delhi,Female,1985-07-07,2024-11-01,Y,43.879631574372304,1.171960351937023
9,DUMMY_076,2021-12-01,Paid,2024-01-19,Premium,Monthly,2024-09-14,Poor streaming quality,38.373065052729714,768,72,1,mina,India,Maharashtra,Female,1978-02-15,2024-08-28,N,54.1747942847464,1.8902639618236188
6,DUMMY_077,2022-04-03,Organic,2025-07-07,Premium,Annual,2024-11-15,Poor streaming quality,89.41490955748363,720,66,1,shiva,India,Nagaland,Female,1990-05-05,2024-09-14,N,50.061291926422264,1.4699559402873401
4,DUMMY_078,2022-01-19,Organic,2025-03-15,Premium,Annual,2024-09-10,Switched to competitor,92.59994464219278,452,78,1,maya,India,Kathmandu,Male,1983-12-30,2025-03-18,N,64.89303324921204,1.4760917566786607
11,DUMMY_079,2020-08-01,Organic,2024-08-25,Basic,Annual,2024-02-28,Poor streaming quality,73.39102065649436,597,3,1,mira,India,Uttar Pradesh,Female,1986-02-28,2024-08-28,Y,62.21493878954042,1.935541943842655
14,DUMMY_080,2020-08-01,Paid,2025-11-20,Basic,Annual,2024-09-14,Poor streaming quality,33.732689853185896,95,86,1,maya,India,Maharashtra,Men,1978-02-15,2024-09-27,Y,89.36336044224439,1.0594866921833401
19,DUMMY_081,2022-06-18,Refferal,2024-09-30,Premium,Monthly,2024-09-14,Switched to competitor,66.12919422828395,1345,74,1,mohan,India,Uttar Pradesh,Male,1985-07-07,2024-04-10,Y,89.95375273793502,1.2151782746287185
9,DUMMY_082,2021-12-01,Organic,2025-07-07,Standard,Monthly,2024-05-01,Forgot to cancel trial,67.65494743162509,2030,74,0,keshav,India,Maharashtra,Male,1988-12-10,2024-04-10,Y,51.31675221085128,1.5857713251547225
3,DUMMY_083,2019-11-11,Organic,2025-06-18,Basic,Monthly,2024-09-10,Not enough content,40.34438578407388,1523,41,0,mina,India,Maharashtra,Male,2001-08-30,2024-08-28,N,17.615926956869117,1.195486509582004
17,DUMMY_084,2021-12-01,Paid,2024-01-19,Premium,Monthly,2024-09-10,Switched to competitor,62.10642257440971,1002,80,1,lalita,Nepal,Meghalaya,Female,2000-09-02,2024-09-27,Y,68.22746391749746,1.6795270092089578
13,DUMMY_085,2022-04-03,Refferal,2025-04-03,Standard,Annual,2024-11-15,Switched to competitor,7.912577467908157,943,40,0,maya,India,Rajasthan,Female,2004-12-01,2024-04-10,Y,88.13312625732713,1.2140922893367203
14,DUMMY_086,2020-06-23,Organic,2024-01-05,Premium,Annual,2024-05-01,Switched to competitor,24.968958639792767,701,7,0,raghvendra,India,Maharashtra,Female,2001-08-30,2024-09-27,Y,35.466111010321626,1.0991569705988145
2,DUMMY_087,2019-05-10,Paid,2025-02-14,Premium,Monthly,2024-09-10,Switched to competitor,52.14759405518446,347,91,1,mohan,India,Kathmandu,Female,1992-04-25,2024-09-27,Y,46.89671086700591,1.2069851596408396
6,DUMMY_088,2020-10-09,Paid,2024-03-17,Basic,Annual,2024-10-31,Too expensive,21.072612166213446,1325,25,0,keshav,India,Kathmandu,Female,1985-07-07,2024-01-20,Y,43.98215398523647,1.4227340342720622
16,DUMMY_089,2023-03-17,Refferal,2024-01-19,Standard,Annual,2024-05-01,Switched to competitor,21.257990637381894,1256,12,1,lalita,India,Uttar Pradesh,Male,1995-11-23,2024-01-20,N,14.113532364554349,1.17613829917308
17,DUMMY_090,2022-04-03,Paid,2025-10-09,Standard,Annual,2024-09-10,Too expensive,78.91216898732046,57,63,1,shiva,India,Karnataka,Female,1993-10-29,2024-09-14,Y,63.78115449787558,1.1346920249233472
9,DUMMY_091,2022-01-19,Organic,2025-06-23,Premium,Monthly,2024-09-10,Switched to competitor,92.05543823079007,932,25,0,durga,India,Meghalaya,Female,2001-08-30,2024-11-01,N,38.267015605477425,1.860281886218941
16,DUMMY_092,2022-06-18,Paid,2024-09-14,Basic,Annual,2024-11-15,Switched to competitor,54.803370810446566,638,86,1,shiva,India,Telangana,Male,1988-12-10,2024-11-01,N,72.99710997052017,1.3203972035973077
17,DUMMY_093,2022-12-31,Organic,2025-05-06,Standard,Annual,2024-10-31,Poor streaming quality,79.14999685582735,407,46,1,keshav,Nepal,Meghalaya,Male,1983-12-30,2025-03-18,Y,76.56960602255889,1.3607586865182535
8,DUMMY_094,2021-09-30,Organic,2025-10-09,Standard,Annual,2024-10-31,Forgot to cancel trial,92.15766313205944,1549,3,1,mina,India,Kathmandu,Female,1979-11-11,2024-04-10,Y,75.69846292782763,1.0552704095012277
18,DUMMY_095,2023-03-17,Organic,2024-09-30,Basic,Annual,2024-11-15,Switched to competitor,19.167246416914622,1169,95,0,maya,India,Nagaland,Men,1978-02-15,2024-09-27,Y,43.33327984319041,1.3573696235020543
6,DUMMY_096,2021-12-01,Refferal,2024-07-22,Premium,Annual,2024-02-28,Poor streaming quality,45.539122739874195,1400,52,1,arjun,India,Uttar Pradesh,Female,2000-09-02,2024-08-28,Y,35.723654579271965,1.2648071773215797
5,DUMMY_097,2021-07-07,Refferal,2025-11-20,Standard,Monthly,2024-09-14,Poor streaming quality,40.75125356240511,1571,28,1,rangadevi,India,Kathmandu,Female,2004-12-01,2024-11-01,N,69.90566237336438,1.6104850673417885
14,DUMMY_098,2022-04-03,Refferal,2025-02-14,Premium,Annual,2024-11-15,Switched to competitor,13.874238393571911,2146,68,1,rikim,India,Nagaland,Male,1983-12-30,2024-09-14,N,74.11115470741784,1.2053902976724067
13,DUMMY_099,2022-06-18,Paid,2025-06-23,Basic,Annual,2024-02-28,Switched to competitor,71.94839486034802,1763,54,0,arjun,India,Rajasthan,Men,1986-02-28,2024-01-20,Y,49.30059571130929,1.8883654530628404
2,DUMMY_100,2021-03-15,Refferal,2024-07-22,Basic,Annual,2024-11-15,Poor streaming quality,44.294996349743,1372,5,0,vishakha,India,Maharashtra,Men,1999-03-14,2024-01-20,Y,81.44248156290425,1.929666620919555
